d,absmom,trend,bench_6040,stocks
1969-01-31,4700.3231,2335.0084,1683.0635,3491.1271
1969-02-28,4449.432,2210.3717,1625.4002,3304.7798
1969-03-31,4585.8692,2217.6667,1652.6275,3406.1174
1969-04-30,4681.8273,2261.8026,1683.08,3477.3895
1969-05-31,4698.2304,2269.727,1682.6359,3489.5728
1969-06-30,4380.7907,2116.3711,1606.1485,3253.797
1969-07-31,4369.266,2134.1909,1542.9182,3046.2856
1969-08-31,4403.1248,2143.1724,1592.9025,3202.0538
1969-09-30,4282.5114,2156.715,1553.0645,3127.5334
1969-10-31,4326.1358,2171.6455,1611.4227,3307.2278
1969-11-30,4339.5831,2184.0574,1582.8779,3200.8952
